,SiteID,Campaign,Quantrich,PC_rich,brdnetEst,CSpcRich,PC_richness_AllSpecies,PC_richness_BNSpecies
174,s2lam056_231128,Dry season,23,5,15,2,5,2
175,s2lam058_230605,Wet season,3,1,1,NA,1,0
176,s2lam058_230630,Wet season,9,10,3,4,5,4
177,s2lam058_231010,Dry season,12,10,12,4,6,4
178,s2lam058_231022,Dry season,19,8,17,5,7,5
179,s2lam058_231028,Dry season,20,11,12,6,8,6
180,s2lam058_231110,Dry season,31,11,21,5,10,5
181,s2lam058_231117,Dry season,14,6,13,1,5,1
182,s2lam059_230704,Wet season,14,5,7,5,5,5
183,s2lam060_230809,Wet season,19,11,10,5,10,5
184,s2lam060_230815,Wet season,9,6,2,1,5,1
185,s2lam060_230930,Dry season,20,16,14,8,11,8
186,s2lam060_231013,Dry season,11,3,5,2,3,2
187,s2lam060_231025,Dry season,24,20,11,8,19,8
188,s2lam063_230630,Wet season,7,9,9,5,6,5
189,s2lam063_230807,Wet season,11,11,8,5,8,5
190,s2lam063_230812,Wet season,17,9,7,5,6,5
191,s2lam063_231011,Dry season,22,12,8,6,10,6
192,s2lam063_231022,Dry season,26,11,13,8,11,8
193,s2lam063_231117,Dry season,11,1,5,1,1,1
194,s2lam065_230710,Wet season,8,21,2,6,10,6
195,s2lam067_230713,Wet season,15,6,5,1,5,0
196,s2lam067_230725,Wet season,21,11,10,6,11,6
197,s2lam067_231005,Dry season,15,12,3,6,12,6
198,s2lam067_231014,Dry season,7,5,2,4,4,4
199,s2lam067_231025,Dry season,14,12,6,4,10,4
200,s2lam068_230710,Wet season,10,25,4,6,12,6
201,s2lam069_230710,Wet season,13,23,6,6,12,6
202,s2lam071_230710,Wet season,16,27,9,9,12,9
203,s2lam071_231103,Dry season,11,8,4,6,6,6
204,s2lam071_231127,Dry season,16,5,14,2,5,2
205,s2lam072_230704,Wet season,9,5,6,5,5,5
206,s2lam072_230805,Wet season,11,10,6,3,8,3
207,s2lam072_230812,Wet season,19,4,7,4,4,4
208,s2lam072_231031,Dry season,15,10,7,5,9,5
209,s2lam072_231106,Dry season,13,5,6,3,5,3
210,s2lam074_230617,Wet season,5,12,1,7,10,6
211,s2lam074_230703,Wet season,19,9,6,6,8,6
212,s2lam074_230711,Wet season,9,16,1,9,13,9
213,s2lam074_230718,Wet season,13,18,7,8,13,8
214,s2lam074_230725,Wet season,13,14,3,8,9,5
215,s2lam074_230804,Wet season,16,9,4,7,8,4
216,s2lam074_230811,Wet season,14,12,3,6,10,5
217,s2lam074_230818,Wet season,26,18,9,11,14,8
218,s2lam074_230829,Wet season,21,7,9,4,5,2
219,s2lam074_231004,Dry season,16,17,4,6,12,5
220,s2lam074_231011,Dry season,21,12,10,7,9,7
221,s2lam074_231020,Dry season,14,9,9,5,7,6
222,s2lam074_231027,Dry season,10,22,5,3,7,3
223,s2lam074_231103,Dry season,16,9,8,7,8,6
224,s2lam074_231110,Dry season,16,7,2,5,6,3
225,s2lam074_231117,Dry season,14,10,9,5,6,6
226,s2lam074_231125,Dry season,21,11,7,8,9,8
227,s2lam074_231130,Dry season,23,7,10,4,6,3
228,s2lam076_230809,Wet season,23,12,8,9,11,8
229,s2lam076_230815,Wet season,15,9,7,5,9,5
230,s2lam076_231001,Dry season,19,8,9,3,5,3
231,s2lam076_231013,Dry season,19,7,11,4,6,4
232,s2lam076_231025,Dry season,16,14,9,5,12,4
233,s2lam076_231117,Dry season,11,12,1,4,9,4
234,s2lam077_230823,Wet season,9,16,5,6,12,6
235,s2lam077_231128,Dry season,20,5,11,4,5,4
236,s2lam078_230605,Wet season,-99,2,0,2,2,2
237,s2lam078_230630,Wet season,6,8,6,6,7,6
238,s2lam078_231010,Dry season,18,5,10,3,3,3
239,s2lam078_231022,Dry season,26,13,17,6,12,6
240,s2lam078_231028,Dry season,11,7,3,2,4,2
241,s2lam078_231117,Dry season,16,8,7,3,5,3
242,s2lam079_230725,Wet season,17,6,6,5,5,3
243,s2lam079_230811,Wet season,23,8,9,6,7,4
244,s2lam079_230819,Wet season,13,11,8,7,7,6
245,s2lam079_230829,Wet season,24,6,4,3,6,4
246,s2lam079_231011,Dry season,23,19,22,6,16,5
247,s2lam079_231020,Dry season,18,8,8,4,7,4
248,s2lam079_231027,Dry season,15,26,14,4,7,4
249,s2lam079_231103,Dry season,21,15,16,7,11,7
250,s2lam079_231117,Dry season,11,6,5,3,4,2
251,s2lam079_231125,Dry season,16,8,8,6,8,6
252,s2lam079_231130,Dry season,16,6,6,6,6,3
253,s2lam080_231108,Dry season,16,6,7,2,6,2
254,s2lam080_231128,Dry season,18,5,10,4,5,4
255,s2lam081_230605,Wet season,8,5,5,3,3,3
256,s2lam081_230630,Wet season,14,11,9,5,6,5
257,s2lam082_230714,Wet season,7,2,4,NA,2,0
258,s2lam082_230726,Wet season,24,12,12,7,10,6
259,s2lam082_230808,Wet season,13,2,6,1,2,1
260,s2lam082_231010,Dry season,13,8,7,1,5,1
261,s2lam082_231106,Dry season,13,5,5,2,4,2
262,s2lam083_230705,Wet season,16,3,5,2,3,2
263,s2lam083_230805,Wet season,18,4,5,1,4,1
264,s2lam083_230811,Wet season,18,5,13,4,5,4
265,s2lam083_230826,Wet season,10,7,5,3,7,3
266,s2lam083_231031,Dry season,14,5,9,2,5,2
267,s2lam083_231106,Dry season,16,13,10,6,12,6
268,s2lam084_230630,Wet season,13,10,8,3,9,3
269,s2lam084_230807,Wet season,17,7,14,3,6,3
270,s2lam084_231110,Dry season,20,3,7,3,3,3
271,s2lam084_231117,Dry season,17,12,12,2,11,2
272,s2lam085_231108,Dry season,6,3,1,1,3,1
273,s2lam085_231128,Dry season,17,10,7,2,5,2
274,s2lam086_230710,Wet season,6,15,2,5,8,5
275,s2lam087_230714,Wet season,16,7,12,2,6,2
276,s2lam087_230726,Wet season,13,1,5,1,1,1
277,s2lam087_230808,Wet season,18,3,9,1,3,1
278,s2lam087_231106,Dry season,8,1,2,1,1,1
279,s2lam087_231115,Dry season,18,11,13,3,8,2
280,s2lam088_230703,Wet season,19,8,10,5,6,5
281,s2lam088_230711,Wet season,19,16,10,9,14,8
282,s2lam088_230718,Wet season,23,20,8,9,17,9
283,s2lam088_230725,Wet season,16,7,2,4,4,3
284,s2lam088_230804,Wet season,15,8,6,5,5,3
285,s2lam088_230811,Wet season,15,13,11,9,10,4
286,s2lam088_230819,Wet season,22,19,16,10,14,9
287,s2lam088_230829,Wet season,24,10,8,5,7,3
288,s2lam088_231011,Dry season,26,14,17,8,10,7
289,s2lam088_231020,Dry season,24,24,23,14,21,12
290,s2lam088_231027,Dry season,24,34,13,6,11,6
291,s2lam088_231103,Dry season,22,13,7,6,7,4
292,s2lam088_231110,Dry season,18,6,13,5,5,4
293,s2lam088_231117,Dry season,13,12,6,6,10,4
294,s2lam088_231125,Dry season,15,8,8,7,8,7
295,s2lam088_231130,Dry season,16,4,9,3,4,2
296,s2lam089_230710,Wet season,7,19,1,4,6,4
297,s2lam089_231025,Dry season,13,3,9,2,3,2
298,s2lam089_231031,Dry season,10,8,4,2,7,2
299,s2lam089_231106,Dry season,9,4,3,3,4,3
300,s2lam090_230718,Wet season,22,18,14,11,14,11
301,s2lam091_230605,Wet season,8,8,5,5,7,5
302,s2lam091_231017,Dry season,13,3,8,3,3,3
303,s2lam092_230705,Wet season,17,2,9,1,2,1
304,s2lam092_230804,Wet season,15,4,6,2,3,2
305,s2lam092_230812,Wet season,16,7,4,5,7,5
306,s2lam092_230826,Wet season,15,7,7,5,7,5
307,s2lam092_231031,Dry season,19,10,10,3,9,3
308,s2lam092_231106,Dry season,11,4,6,2,3,2
309,s2lam093_230703,Wet season,15,8,7,5,6,5
310,s2lam093_230711,Wet season,21,14,10,6,11,6
311,s2lam093_230718,Wet season,16,13,11,6,10,5
312,s2lam093_230725,Wet season,16,10,9,5,7,4
313,s2lam093_230804,Wet season,19,7,6,5,5,3
314,s2lam093_230811,Wet season,16,14,8,7,10,5
315,s2lam093_230818,Wet season,11,7,8,5,6,4
316,s2lam093_230829,Wet season,30,14,23,7,10,6
317,s2lam093_231004,Dry season,24,20,14,12,19,11
318,s2lam093_231011,Dry season,29,12,17,6,9,5
319,s2lam093_231020,Dry season,23,23,11,11,13,10
320,s2lam093_231027,Dry season,13,32,6,7,12,7
321,s2lam093_231110,Dry season,17,4,8,4,4,3
322,s2lam093_231117,Dry season,16,7,4,7,7,4
323,s2lam093_231125,Dry season,15,3,9,2,3,2
324,s2lam093_231130,Dry season,28,9,17,5,8,4
325,s2lam095_230710,Wet season,27,5,21,4,5,4
326,s2lam095_231017,Dry season,12,1,7,1,1,1
327,s2lam096_230823,Wet season,11,7,3,3,5,3
328,s2lam096_231107,Dry season,21,9,11,4,9,4
329,s2lam096_231128,Dry season,13,8,10,3,8,3
330,s2lam097_230703,Wet season,10,2,6,2,2,2
331,s2lam098_231117,Dry season,15,13,17,3,12,3
332,s2lam099_230703,Wet season,16,7,8,6,7,6
333,s2lam099_231103,Dry season,19,15,8,9,10,9
334,s2lam101_231010,Dry season,3,6,1,2,4,2
335,s2lam101_231022,Dry season,4,11,2,4,11,4
336,s2lam101_231028,Dry season,8,16,1,6,15,6
337,s2lam101_231110,Dry season,7,5,4,3,4,3
338,s2lam101_231117,Dry season,1,5,NA,1,3,1
339,s2lam103_230714,Wet season,18,8,14,4,6,4
340,s2lam103_230726,Wet season,14,10,9,4,9,3
341,s2lam103_230808,Wet season,9,4,5,4,4,4
342,s2lam103_231106,Dry season,13,7,6,4,7,4
343,s2lam104_230617,Wet season,10,9,3,6,7,6
344,s2lam104_230703,Wet season,10,10,8,3,8,2
345,s2lam104_230711,Wet season,18,17,10,8,15,4
346,s2lam104_230718,Wet season,16,11,8,8,10,8
347,s2lam104_230725,Wet season,19,15,7,6,12,6
348,s2lam104_230804,Wet season,19,9,6,6,7,4
349,s2lam104_230811,Wet season,16,7,6,4,5,3
350,s2lam104_230818,Wet season,24,6,13,3,4,3
351,s2lam104_230829,Wet season,20,6,10,4,4,3
352,s2lam104_231004,Dry season,26,24,15,12,21,11
353,s2lam104_231011,Dry season,25,12,16,4,8,3
354,s2lam104_231020,Dry season,22,14,16,6,8,6
355,s2lam104_231103,Dry season,17,9,8,7,7,4
356,s2lam104_231110,Dry season,20,8,10,4,5,3
357,s2lam104_231117,Dry season,13,12,8,7,8,5
358,s2lam104_231125,Dry season,22,10,14,8,9,8
359,s2lam104_231130,Dry season,24,6,21,4,4,3
360,s2lam105_230630,Wet season,15,21,11,3,11,3
361,s2lam105_230807,Wet season,22,9,11,3,8,3
362,s2lam105_230812,Wet season,20,8,13,5,5,5
363,s2lam105_231022,Dry season,16,11,7,8,10,8
364,s2lam105_231110,Dry season,20,5,11,2,3,2
365,s2lam105_231117,Dry season,13,10,12,4,9,4
366,s2lam107_230617,Wet season,16,14,8,7,11,5
367,s2lam107_230703,Wet season,24,7,18,6,7,6
368,s2lam107_230711,Wet season,11,8,5,4,5,4
369,s2lam107_230718,Wet season,8,10,4,2,4,2
370,s2lam107_230725,Wet season,14,11,6,7,10,4
371,s2lam107_230811,Wet season,10,14,5,8,10,5
372,s2lam107_230819,Wet season,29,17,17,8,12,7
373,s2lam107_230829,Wet season,29,12,20,7,11,7
374,s2lam107_231004,Dry season,20,16,17,8,13,7
375,s2lam107_231027,Dry season,28,22,18,6,9,6
376,s2lam107_231103,Dry season,19,8,9,6,6,4
377,s2lam107_231110,Dry season,15,5,9,4,4,3
378,s2lam107_231117,Dry season,17,8,11,5,6,5
379,s2lam107_231125,Dry season,19,10,15,6,8,3
380,s2lam107_231130,Dry season,21,4,16,3,3,2
381,s2lam108_230726,Wet season,16,3,14,2,3,2
382,s2lam108_230808,Wet season,7,2,2,NA,2,0
383,s2lam108_231010,Dry season,21,12,18,7,10,6
384,s2lam108_231106,Dry season,8,6,4,2,4,2
385,s2lam109_230710,Wet season,12,32,9,9,13,9
386,s2lam110_230710,Wet season,9,30,4,10,16,10
387,s2lam111_230707,Wet season,15,8,8,5,7,5
388,s2lam111_230717,Wet season,11,8,9,3,4,3
389,s2lam111_231005,Dry season,18,13,9,7,10,7
390,s2lam111_231013,Dry season,8,8,7,3,8,3
391,s2lam111_231025,Dry season,19,14,5,7,13,7
392,s2lam111_231117,Dry season,22,13,15,8,11,7
393,s2lam112_230805,Wet season,11,4,7,1,3,1
394,s2lam112_230812,Wet season,15,1,9,NA,1,0
395,s2lam112_230826,Wet season,23,7,12,4,5,4
396,s2lam112_231025,Dry season,17,4,9,2,4,2
397,s2lam112_231031,Dry season,16,8,8,2,7,2
398,s2lam112_231106,Dry season,14,8,7,3,6,3
399,s2lam113_230703,Wet season,15,6,8,3,5,3
400,s2lam113_231103,Dry season,23,16,12,12,12,11
401,s2lam113_231127,Dry season,20,7,14,2,7,2
402,s2lam114_230703,Wet season,11,15,5,8,9,8
403,s2lam114_230711,Wet season,15,18,4,10,16,8
404,s2lam114_230718,Wet season,7,13,1,5,10,5
405,s2lam114_230725,Wet season,11,7,4,6,6,5
406,s2lam114_230804,Wet season,5,7,1,4,5,4
407,s2lam114_230811,Wet season,9,9,4,5,8,4
408,s2lam114_230819,Wet season,10,19,2,10,13,9
409,s2lam114_230829,Wet season,5,8,3,3,6,3
410,s2lam114_231004,Dry season,12,19,0,8,14,7
411,s2lam114_231011,Dry season,14,10,6,7,7,5
412,s2lam114_231020,Dry season,5,16,NA,8,12,8
413,s2lam114_231027,Dry season,4,20,0,3,5,3
414,s2lam114_231103,Dry season,12,12,3,7,9,6
415,s2lam114_231117,Dry season,7,18,2,7,9,6
416,s2lam114_231125,Dry season,12,13,4,9,12,9
417,s2lam114_231130,Dry season,13,9,4,6,8,5
418,s2lam115_230714,Wet season,21,3,6,1,3,1
419,s2lam115_230726,Wet season,14,6,6,1,2,1
420,s2lam115_230808,Wet season,9,2,6,2,2,2
421,s2lam115_231010,Dry season,15,4,10,1,1,1
422,s2lam115_231106,Dry season,12,6,6,5,5,5
423,s2lam116_230710,Wet season,28,3,16,2,3,2
424,s2lam116_230807,Wet season,16,7,8,1,6,1
425,s2lam116_230812,Wet season,20,7,7,2,4,2
426,s2lam116_231028,Dry season,9,8,1,3,5,3
427,s2lam116_231110,Dry season,13,6,9,2,4,2
428,s2lam116_231117,Dry season,15,6,14,2,6,2
429,s2lam117_230725,Wet season,15,8,8,3,8,3
430,s2lam117_230802,Wet season,6,6,1,2,5,2
431,s2lam117_230809,Wet season,14,10,5,9,9,9
432,s2lam117_230815,Wet season,11,4,5,2,4,2
433,s2lam117_231005,Dry season,28,18,19,9,16,9
434,s2lam117_231013,Dry season,27,13,17,8,11,8
435,s2lam118_230713,Wet season,20,8,10,6,8,6
436,s2lam118_230802,Wet season,7,4,2,3,4,3
437,s2lam118_230809,Wet season,22,16,8,9,12,9
438,s2lam118_230815,Wet season,2,4,0,1,4,1
439,s2lam118_231001,Dry season,15,5,9,2,4,2
440,s2lam118_231025,Dry season,9,4,3,NA,4,0
441,s2lam118_231117,Dry season,17,5,10,2,4,2
442,s2lam118_231122,Dry season,15,3,13,NA,3,0
443,s2lam119_230713,Wet season,7,6,6,4,6,4
444,s2lam119_230725,Wet season,18,6,8,3,6,3
445,s2lam119_230809,Wet season,12,14,4,9,12,9
446,s2lam119_230815,Wet season,27,18,12,10,15,10
447,s2lam119_231001,Dry season,14,11,7,5,10,5
448,s2lam119_231026,Dry season,10,9,4,2,7,2
449,s2lam120_230710,Wet season,21,2,10,2,2,2
450,s2lam120_230807,Wet season,14,10,8,3,9,3
451,s2lam120_230812,Wet season,13,13,11,1,11,1
452,s2lam120_231117,Dry season,15,7,13,4,6,4
453,s2lam121_230807,Wet season,19,10,12,5,7,5
454,s2lam121_230813,Wet season,22,10,12,4,8,4
455,s2lam121_231028,Dry season,23,20,6,9,14,9
456,s2lam121_231117,Dry season,17,7,12,4,5,4
457,s2lam122_230714,Wet season,8,6,2,3,5,3
458,s2lam122_230808,Wet season,5,3,3,2,3,2
459,s2lam122_230822,Wet season,23,8,14,1,8,1
460,s2lam122_231010,Dry season,17,6,10,3,4,3
461,s2lam122_231106,Dry season,10,2,1,NA,2,0
462,s2lam122_231114,Dry season,11,9,10,6,9,6
463,s2lam123_230710,Wet season,23,3,18,2,3,2
464,s2lam123_230812,Wet season,14,5,7,3,5,3
465,s2lam123_231010,Dry season,9,16,6,3,13,3
466,s2lam123_231022,Dry season,19,9,10,6,7,6
467,s2lam123_231028,Dry season,12,9,4,5,7,5
468,s2lam123_231110,Dry season,22,10,13,7,10,7
469,s2lam123_231117,Dry season,20,6,12,2,4,2
470,s2lam125_230725,Wet season,11,7,8,3,6,3
471,s2lam125_230809,Wet season,13,5,6,3,4,3
472,s2lam125_230815,Wet season,17,8,12,3,7,3
473,s2lam125_231001,Dry season,18,9,12,6,8,6
474,s2lam125_231026,Dry season,8,6,2,1,6,1
475,s2lam125_231117,Dry season,13,5,13,3,5,3
476,s2lam125_231122,Dry season,20,2,15,1,2,1
477,s2lam126_230807,Wet season,15,18,3,2,13,2
478,s2lam126_230812,Wet season,15,7,7,2,4,2
479,s2lam126_231010,Dry season,14,10,9,4,5,4
480,s2lam126_231022,Dry season,20,11,12,7,11,7
481,s2lam126_231029,Dry season,17,10,12,4,7,4
482,s2lam126_231117,Dry season,20,13,13,5,10,5
483,s2lam127_230707,Wet season,10,7,6,4,7,4
484,s2lam127_230717,Wet season,12,4,5,2,3,2
485,s2lam127_231005,Dry season,8,5,3,2,4,2
486,s2lam127_231013,Dry season,11,4,3,2,4,2
487,s2lam127_231025,Dry season,13,9,10,3,9,3
488,s2lam127_231117,Dry season,16,13,7,8,11,7
489,s2lam128_230725,Wet season,8,5,2,1,4,1
490,s2lam128_230802,Wet season,3,1,1,1,1,1
491,s2lam128_230809,Wet season,23,14,7,8,10,8
492,s2lam128_230815,Wet season,5,5,2,NA,5,0
493,s2lam128_230930,Dry season,18,19,10,7,14,7
494,s2lam128_231014,Dry season,15,7,3,3,6,3
